CUI 	 Frequency in Conflicts
C0010583	24
C1516048	3
C1831743	2
C0392747	1
C0031153	1
C0010592	3
C0079459	16
C0936012	4
C0059874	1
C0018284	14
C0537670	7
C0216231	7
C0011777	1
C0076080	16
C0242602	6
C0205369	5
C0149615	1
C0000726	2
C0039194	1
C0072980	6
C0472699	3
C0042210	2
C0023828	3
C0032520	4
C0042680	10
C0079083	33
C0016263	1
C0393080	1
C1518999	4
C1504389	20
C1261322	2
C1332793	49
C1328050	2
C1332791	1
C0015133	9
C0038250	6
C0010802	1
C0013089	2
C0392920	65
C0376563	10
C0020823	6
C0209368	1
C1278908	4
C0246415	1
C0004475	1
C1709846	1
C0027651	11
C1552740	1
C1512034	5
C0439534	2
C0038895	8
C1136535	6
C0064113	1
C1524020	12
C0543467	16
C0039736	1
C0210630	28
C0013217	32
C0332281	3
C0178913	1
C0205171	7
C1522449	42
C0919689	1
C1512558	1
C0677829	1
