PatternType 	 Frequency in Conflicts
ecClassifier.R1NoPattern	16
ecClassifier.R6Dot9PriorPresenceConstraintTime	2
ecClassifier.R14Dot3BasicConfConstraint	2
ecClassifier.R14Dot6BasicAdverseReacContra	1
ecClassifier.R6Dot11Dot1PriorPresenceConstraintTimeExcl	13
ecClassifier.R6Dot3PriorPresenceConstraintTherapy	2
ecClassifier.R70ExpExcl	1
ecClassifier.R14Dot4Dot2BasicConfConstraintSpecific	2
ecClassifier.R6Dot12PriorPresenceConstraintTime	18
ecClassifier.R14Dot8BasicOutcomeConstraint	4
ecClassifier.Rule2TimeCons	2
ecClassifier.R14Dot2BasicConfConstraint	1
ecClassifier.R6Dot11PriorPresenceConstraintTime	28
ecClassifier.Rule2PACPattern	8
ecClassifier.R68CondReq	1
ecClassifier.R6PriorPresenceConstraint	21
